SA_code,SA_title,SH_code
SA1,KOBİ Dönüşüm Etkisi,SH1.1
SA1,KOBİ Dönüşüm Etkisi,SH1.2
SA1,KOBİ Dönüşüm Etkisi,SH1.3
SA1,KOBİ Dönüşüm Etkisi,SH1.4
SA1,KOBİ Dönüşüm Etkisi,SH1.5
SA1,KOBİ Dönüşüm Etkisi,SH1.6
SA2,Finansal Sürdürülebilirlik,SH2.1
SA2,Finansal Sürdürülebilirlik,SH2.2
SA2,Finansal Sürdürülebilirlik,SH2.3
SA2,Finansal Sürdürülebilirlik,SH2.4
SA2,Finansal Sürdürülebilirlik,SH2.5
SA3,Kurumsal Kapasite & Operasyonel Mükemmellik,SH3.1
SA3,Kurumsal Kapasite & Operasyonel Mükemmellik,SH3.2
SA3,Kurumsal Kapasite & Operasyonel Mükemmellik,SH3.3
SA3,Kurumsal Kapasite & Operasyonel Mükemmellik,SH3.4
SA3,Kurumsal Kapasite & Operasyonel Mükemmellik,SH3.5
SA3,Kurumsal Kapasite & Operasyonel Mükemmellik,SH3.6
SA3,Kurumsal Kapasite & Operasyonel Mükemmellik,SH3.7
SA3,Kurumsal Kapasite & Operasyonel Mükemmellik,SH3.8
SA4,Paydaş İlişkileri & Marka Değeri,SH4.1
SA4,Paydaş İlişkileri & Marka Değeri,SH4.2
SA4,Paydaş İlişkileri & Marka Değeri,SH4.3
SA4,Paydaş İlişkileri & Marka Değeri,SH4.4
SA4,Paydaş İlişkileri & Marka Değeri,SH4.5
SA4,Paydaş İlişkileri & Marka Değeri,SH4.6
SA4,Paydaş İlişkileri & Marka Değeri,SH4.7
