shCode,saCode,kpiCount,hasDigital,hasGreen,hasResilience,rawScore,weight
SH1.1,SA1,2,1,1,1,3.0000,0.1818
SH1.2,SA1,2,1,1,1,3.0000,0.1818
SH1.3,SA1,1,1,1,1,2.5000,0.1515
SH1.4,SA1,2,1,1,1,2.5000,0.1515
SH1.5,SA1,1,1,1,1,2.5000,0.1515
SH1.6,SA1,2,1,1,1,3.0000,0.1818
SH2.1,SA2,2,1,1,1,1.5000,0.2308
SH2.2,SA2,1,1,1,1,1.0000,0.1538
SH2.3,SA2,2,1,1,1,1.5000,0.2308
SH2.4,SA2,2,1,1,1,1.5000,0.2308
SH2.5,SA2,1,1,1,1,1.0000,0.1538
SH3.1,SA3,1,1,1,1,1.5000,0.1200
SH3.2,SA3,1,1,1,1,1.5000,0.1200
SH3.3,SA3,1,1,1,1,1.5000,0.1200
SH3.4,SA3,1,1,1,1,1.5000,0.1200
SH3.5,SA3,1,1,1,1,1.5000,0.1200
SH3.6,SA3,2,1,1,1,2.0000,0.1600
SH3.7,SA3,1,1,1,1,1.5000,0.1200
SH3.8,SA3,1,1,1,1,1.5000,0.1200
SH4.1,SA4,1,1,1,1,1.5000,0.1034
SH4.2,SA4,2,1,1,1,2.5000,0.1724
SH4.3,SA4,3,1,1,1,2.0000,0.1379
SH4.4,SA4,1,1,1,1,1.5000,0.1034
SH4.5,SA4,1,1,1,1,1.5000,0.1034
SH4.6,SA4,1,1,1,1,1.5000,0.1034
SH4.7,SA4,2,1,1,1,2.0000,0.1379
SH4.8,SA4,3,1,1,1,2.0000,0.1379
